Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Junior Adamu,AUT,FW,Freiburg,23,2001,17.2,312,292,18,0,2,0,5,2,0,0,0,0,198,2,12
Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002,15.9,401,388,11,1,3,2,26,7,2,2,0,0,298,2,20
Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,8.5,360,346,12,0,0,2,33,8,3,2,1,0,267,2,14
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,1998,18.2,461,434,22,3,1,4,53,11,0,0,0,0,320,5,31
Felix Agu,NGA,DF,Werder Bremen,24,1999,19.5,822,667,153,6,0,3,49,147,0,0,0,0,655,2,26
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,24.7,1369,1280,85,43,1,5,12,14,0,0,0,0,1193,4,10
Andreas Albers,DEN,FW,St. Pauli,34,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,1.0,50,33,17,4,0,0,0,0,0,0,0,0,28,0,0
Skelly Alvero,FRA,MF,Werder Bremen,22,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3
Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003,1.1,69,66,3,1,0,3,0,1,0,0,0,0,58,0,2
Nadiem Amiri,GER,MF,Mainz 05,27,1996,27.5,1781,1508,259,120,10,14,166,10,113,40,55,1,1371,14,36
Mohamed Amoura,ALG,FW,Wolfsburg,24,2000,27.4,757,714,38,0,9,14,35,16,0,0,0,0,532,5,42
Robert Andrich,GER,"MF,DF",Leverkusen,29,1994,17.8,978,952,24,15,2,7,12,4,0,0,0,0,865,2,6
Waldemar Anton,GER,DF,Dortmund,28,1996,21.7,1841,1763,78,33,2,6,24,37,0,0,0,0,1664,0,18
Maximilian Arnold,GER,MF,Wolfsburg,30,1994,26.2,1358,1135,218,109,3,17,152,4,84,51,32,1,1049,5,18
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000,7.9,174,146,23,3,1,5,24,9,7,5,2,0,102,5,8
Arthur,BRA,DF,Leverkusen,21,2003,8.4,388,342,45,1,0,0,16,44,0,0,0,0,306,1,13
Noah Atubolu,GER,GK,Freiburg,22,2002,25.6,1140,952,186,60,0,2,0,0,0,0,0,0,849,2,1
Ayman Azhil,MAR,MF,Dortmund,23,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
Adam Aznou,MAR,DF,Bayern Munich,18,2006,0.2,17,14,2,0,0,0,1,2,0,0,0,0,13,1,0
Aliou Badara Baldé,GUI,"MF,FW",Bochum,21,2002,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998,13.0,514,467,46,6,3,2,37,40,0,0,0,0,381,1,22
Ridle Baku,GER,"DF,MF",RB Leipzig,26,1998,14.2,638,547,88,5,5,3,34,83,0,0,0,0,480,3,22
Samuel Bamba,GER,"FW,MF",Bochum,20,2004,0.3,22,20,2,1,0,0,5,0,1,1,0,0,17,0,1
Noahkai Banks,USA,DF,Augsburg,17,2006,3.1,168,157,11,4,0,0,2,6,0,0,0,0,156,0,0
Scott Banks,SCO,"FW,MF",St. Pauli,22,2001,1.3,33,33,0,0,0,0,5,0,0,0,0,0,21,0,0
Aymen Barkok,MAR,MF,Mainz 05,26,1998,0.8,37,35,2,1,0,0,5,0,1,1,0,0,26,0,2
Michy Batshuayi,BEL,FW,Eint Frankfurt,30,1993,3.3,66,61,4,1,0,0,1,0,0,0,0,0,53,1,0
Maximilian Bauer,GER,DF,Augsburg,24,2000,7.3,340,320,19,11,0,2,4,4,0,0,0,0,275,1,2
Oliver Baumann,GER,GK,Hoffenheim,34,1990,28.0,1062,844,215,79,3,2,0,0,0,0,0,0,734,3,0
Christoph Baumgartner,AUT,MF,RB Leipzig,24,1999,17.9,617,581,27,3,10,1,14,9,1,0,0,0,421,9,29
Ihlas Bebou,TOG,MF,Hoffenheim,30,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Adrian Beck,GER,"MF,FW",Heidenheim,27,1997,17.8,725,671,53,3,0,4,32,14,17,10,6,0,581,1,19
Timo Becker,GER,DF,Holstein Kiel,27,1997,27.2,1026,840,186,41,1,14,22,145,0,0,0,0,794,0,26
Hannes Behrens,GER,DF,Hoffenheim,19,2005,0.3,22,21,1,0,0,0,0,1,0,0,0,0,16,0,0
Kevin Behrens,GER,FW,Wolfsburg,33,1991,1.9,79,76,3,0,0,1,0,1,0,0,0,0,48,0,2
Maximilian Beier,GER,"FW,MF",Dortmund,21,2002,17.7,413,396,13,0,1,0,16,10,0,0,0,0,291,4,22
Stefan Bell,GER,DF,Mainz 05,32,1991,16.0,719,691,23,20,0,2,0,1,0,0,0,0,565,5,4
Jeanuël Belocian,FRA,"DF,MF",Leverkusen,19,2005,0.8,40,35,5,1,0,0,0,4,0,0,0,0,34,0,1
László Bénes,SVK,"MF,FW",Union Berlin,26,1997,6.5,330,273,56,27,1,1,48,6,22,9,12,0,223,1,7
Ramy Bensebaini,ALG,DF,Dortmund,29,1995,22.5,1478,1283,194,41,4,5,36,133,14,13,0,0,1273,1,18
Mergim Berisha,GER,"FW,MF",Hoffenheim,26,1998,3.7,56,53,2,0,3,1,3,0,0,0,0,0,39,1,0
Mergim Berisha,GER,FW,Augsburg,26,1998,0.4,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
Bernardo,BRA,DF,Bochum,29,1995,19.8,991,941,47,26,0,2,14,17,0,0,0,0,730,3,30
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,1998,14.0,319,294,23,4,2,4,34,8,10,4,5,1,193,2,13
Matúš Bero,SVK,MF,Bochum,28,1995,28.5,1317,1043,266,54,7,4,124,133,68,41,25,0,894,8,37
Jan-Niklas Beste,GER,"FW,MF",Freiburg,25,1999,2.4,94,79,15,7,0,0,20,3,5,2,1,0,70,0,2
El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001,4.0,96,94,0,0,1,0,0,0,0,0,0,0,75,2,3
Tom Bischof,GER,"MF,FW",Hoffenheim,19,2005,28.4,1537,1344,186,67,3,6,145,13,97,35,42,3,1210,7,54
Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993,10.9,680,659,19,9,2,3,22,3,7,4,3,0,571,2,10
Myron Boadu,NED,FW,Bochum,23,2001,11.6,195,183,12,0,0,0,3,0,0,0,0,0,139,0,11
Sacha Boey,FRA,DF,Bayern Munich,23,2000,6.6,500,442,58,4,0,0,11,54,0,0,0,0,462,0,4
Victor Boniface,NGA,FW,Leverkusen,23,2000,11.2,245,237,6,0,1,2,6,2,0,0,0,0,172,2,7
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999,8.8,330,317,13,11,0,2,1,1,0,0,0,0,270,0,3
Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999,18.3,467,460,4,3,2,1,10,0,0,0,0,0,333,3,15
Julian Brandt,GER,MF,Dortmund,28,1996,25.6,1209,1157,48,7,18,3,71,18,20,11,6,0,953,4,30
Tim Breithaupt,GER,MF,Augsburg,22,2002,1.3,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2
Maximilian Breunig,GER,"FW,MF",Heidenheim,23,2000,3.9,81,78,3,0,0,1,1,3,0,0,0,0,47,0,6
Moritz Broschinski,GER,"FW,MF",Bochum,23,2000,15.4,295,274,19,1,0,0,28,2,0,0,0,0,187,2,24
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,21,2003,21.6,901,713,181,19,2,3,92,114,48,43,1,0,727,7,28
Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,25,1998,4.4,163,150,13,1,2,2,19,5,5,2,3,0,121,0,3
Jacob Bruun Larsen,DEN,"MF,FW",Stuttgart,25,1998,4.6,163,154,8,1,2,3,18,2,5,3,1,0,115,1,6
Emi Buendía,ARG,MF,Leverkusen,27,1996,2.9,157,155,1,1,3,1,3,0,0,0,0,0,123,1,2
Marius Bülter,GER,"FW,DF",Hoffenheim,31,1993,19.2,586,530,55,2,3,3,84,46,0,0,0,0,394,1,31
Jonathan Burkardt,GER,FW,Mainz 05,24,2000,23.4,523,475,47,0,2,8,27,6,0,0,0,0,379,1,24
Oliver Burke,SCO,FW,Werder Bremen,27,1997,10.1,299,292,5,0,0,0,20,4,0,0,0,0,179,2,16
Marnon Busch,GER,"DF,MF",Heidenheim,29,1994,15.5,845,698,142,25,1,13,52,116,1,0,1,0,614,5,16
Anthony Caci,FRA,DF,Mainz 05,27,1997,29.8,1655,1345,302,26,6,11,133,256,20,7,8,1,1188,8,61
Cole Campbell,USA,"MF,FW",Dortmund,18,2006,0.2,15,15,0,0,0,0,1,0,0,0,0,0,13,0,0
Emre Can,GER,"DF,MF",Dortmund,30,1994,23.4,1905,1838,64,45,3,7,11,14,0,0,0,0,1705,3,10
Tiago Cardoso,LUX,GK,Gladbach,18,2006,4.2,179,135,44,13,0,0,0,0,0,0,0,0,134,0,0
Abdoulie Ceesay,GAM,FW,St. Pauli,20,2004,0.7,14,14,0,0,1,0,0,0,0,0,0,0,8,0,0
Julian Chabot,GER,DF,Stuttgart,26,1998,25.2,1946,1822,122,61,0,15,2,3,0,0,0,0,1749,2,6
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005,12.6,866,824,38,26,1,4,4,5,0,0,0,0,731,4,7
Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,21,2002,11.3,462,391,66,21,4,4,72,7,38,19,16,0,304,5,12
Timothy Chandler,USA,DF,Eint Frankfurt,34,1990,0.3,24,24,0,0,0,0,1,0,0,0,0,0,17,0,1
Anrie Chase,JPN,DF,Stuttgart,20,2004,8.2,541,519,22,10,0,5,3,10,0,0,0,0,497,0,1
Arthur Chaves,BRA,DF,Hoffenheim,23,2001,24.3,1177,1128,46,31,0,4,8,14,0,0,0,0,966,3,22
Fabio Chiarodia,ITA,DF,Gladbach,19,2005,4.2,206,179,27,4,1,1,0,6,0,0,0,0,173,0,2
Carney Chukwuemeka,ENG,MF,Dortmund,20,2003,2.8,122,120,2,1,3,0,1,0,1,0,0,0,96,0,5
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,26,1998,23.4,655,634,21,4,3,3,21,3,0,0,0,0,543,0,16
Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004,16.5,888,811,77,16,0,2,17,61,0,0,0,0,766,0,7
Kingsley Coman,FRA,FW,Bayern Munich,28,1996,14.2,740,718,20,0,0,2,45,9,0,0,0,0,624,2,13
Sirlord Conteh,GER,"FW,MF",Heidenheim,28,1996,9.9,224,213,9,0,0,0,20,4,0,0,0,0,158,2,8
Danny da Costa,GER,DF,Mainz 05,31,1993,22.3,1201,1148,48,16,0,4,22,32,0,0,0,0,942,5,21
Yan Couto,BRA,"DF,FW",Dortmund,22,2002,9.9,723,626,96,6,0,4,53,88,2,0,2,0,586,1,17
Tomáš Čvančara,CZE,FW,Gladbach,23,2000,9.2,239,229,9,1,0,1,15,6,0,0,0,0,171,1,8
Finn Dahmen,GER,GK,Augsburg,26,1998,19.0,761,555,204,59,0,1,0,0,0,0,0,0,528,2,0
Thomas Dähne,GER,GK,Holstein Kiel,30,1994,9.0,395,286,109,18,0,0,0,0,0,0,0,0,304,0,0
Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996,4.0,225,218,6,5,2,1,4,0,1,0,1,0,191,1,6
Ameen Al-Dakhil,BEL,DF,Stuttgart,22,2002,4.8,339,321,16,6,0,2,0,0,0,0,0,0,311,2,1
Bence Dárdai,HUN,MF,Wolfsburg,18,2006,14.5,445,426,18,10,1,1,10,3,1,1,0,0,357,1,13
Lukas Daschner,GER,"MF,FW",Bochum,25,1998,4.6,144,126,18,7,3,0,19,1,7,4,3,0,93,0,1
Alphonso Davies,CAN,DF,Bayern Munich,23,2000,17.3,1272,1143,127,21,6,1,22,106,0,0,0,0,1141,2,20
Olivier Deman,BEL,DF,Werder Bremen,24,2000,0.7,58,45,13,0,0,0,6,10,3,3,0,0,38,0,2
Ermedin Demirović,BIH,FW,Stuttgart,26,1998,20.6,367,349,15,0,3,0,3,0,0,0,0,0,258,3,11
Justin Diehl,GER,"FW,DF",Stuttgart,19,2004,1.2,59,55,4,0,0,0,10,0,3,2,0,0,42,0,0
Eric Dier,ENG,DF,Bayern Munich,30,1994,16.3,1412,1360,50,25,2,7,2,5,0,0,0,0,1324,2,6
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,23,2000,3.3,112,104,8,0,0,1,8,8,0,0,0,0,71,0,1
Eren Dinkçi,GER,"MF,FW",Freiburg,22,2001,13.3,394,388,4,0,1,1,15,0,1,0,0,0,297,2,17
Ritsu Doan,JPN,"FW,MF",Freiburg,26,1998,31.8,1090,1064,23,4,12,5,80,10,9,8,1,0,783,3,42
Danilho Doekhi,NED,DF,Union Berlin,26,1998,34.0,1270,1240,25,19,1,1,10,6,0,0,0,0,995,5,20
Niklas Dorsch,GER,MF,Augsburg,26,1998,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1
Niklas Dorsch,GER,MF,Heidenheim,26,1998,14.8,687,597,88,53,0,18,37,3,28,12,8,0,573,2,3
Patrick Drewes,GER,GK,Bochum,31,1993,21.0,860,598,260,83,0,0,0,0,0,0,0,0,565,2,1
Tim Drexler,GER,DF,Hoffenheim,19,2005,4.0,180,173,7,4,1,2,1,3,0,0,0,0,153,0,3
Marvin Ducksch,GER,FW,Werder Bremen,30,1994,26.9,908,676,224,55,8,13,167,9,105,33,56,0,560,8,24
Julien Duranville,BEL,"FW,MF",Dortmund,18,2006,3.1,84,83,1,0,1,1,13,1,0,0,0,0,59,0,2
Adam Dźwigała,POL,"DF,MF",St. Pauli,28,1995,4.1,212,185,26,8,1,0,3,16,0,0,0,0,173,1,5
Johannes Eggestein,GER,FW,St. Pauli,26,1998,20.6,547,515,29,0,4,2,35,0,0,0,0,0,404,3,28
Maximilian Eggestein,GER,MF,Freiburg,27,1996,31.6,1452,1419,29,25,2,0,9,4,0,0,0,0,1213,4,32
Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002,28.5,644,586,56,2,6,5,17,1,0,0,0,0,486,2,23
Elif Elmas,MKD,MF,RB Leipzig,24,1999,0.5,16,16,0,0,1,0,0,0,0,0,0,0,13,0,1
Nico Elvedi,SUI,DF,Gladbach,27,1996,23.7,1522,1399,120,27,3,1,1,1,0,0,0,0,1400,3,9
Arne Engels,BEL,"MF,FW",Augsburg,20,2003,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1
Patrick Erras,GER,DF,Holstein Kiel,29,1995,9.2,510,490,20,12,0,0,0,0,0,0,0,0,469,0,3
Samuel Essende,COD,FW,Augsburg,26,1998,18.2,301,278,19,2,0,0,5,0,0,0,0,0,195,4,12
Frank Feller,GER,GK,Heidenheim,20,2004,1.3,65,47,18,7,0,0,0,0,0,0,0,0,41,0,0
Kilian Fischer,GER,DF,Wolfsburg,23,2000,25.5,1241,985,254,17,0,4,39,237,0,0,0,0,976,2,27
Jonas Föhrenbach,GER,DF,Heidenheim,28,1996,20.4,909,741,167,8,0,2,59,159,0,0,0,0,659,1,37
Marco Friedl,AUT,DF,Werder Bremen,26,1998,24.0,1468,1397,68,57,0,4,2,4,0,0,0,0,1324,3,6
Marvin Friedrich,GER,DF,Gladbach,28,1995,11.0,706,686,19,10,0,0,0,1,0,0,0,0,624,1,6
Jeremie Frimpong,NED,"DF,MF",Leverkusen,23,2000,25.7,940,844,94,2,0,2,116,92,0,0,0,0,715,2,29
Chris Führich,GER,"MF,FW",Stuttgart,26,1998,22.0,1003,915,84,9,8,1,82,30,45,17,1,0,807,4,20
Shiō Fukuda,JPN,FW,Gladbach,20,2004,0.7,10,10,0,0,0,0,1,0,0,0,0,0,5,0,2
Cristian Gamboa,CRC,DF,Bochum,34,1989,2.5,124,104,20,2,1,2,7,18,0,0,0,0,75,0,3
Aleix García,ESP,MF,Leverkusen,27,1997,16.2,1390,1270,118,49,2,33,92,10,58,31,16,0,1212,2,16
Viggo Gebel,GER,MF,RB Leipzig,16,2007,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Lutsharel Geertruida,NED,DF,RB Leipzig,24,2000,17.3,1109,974,132,22,1,3,13,110,0,0,0,0,961,3,12
Dennis Geiger,GER,"MF,FW",Hoffenheim,26,1998,8.2,362,341,18,12,2,0,5,2,2,1,1,0,316,3,4
Valentin Gendrey,FRA,DF,Hoffenheim,24,2000,15.7,690,515,171,7,0,2,51,164,0,0,0,0,482,4,17
Yannick Gerhardt,GER,"MF,DF",Wolfsburg,30,1994,16.9,667,625,41,12,1,1,24,24,1,1,0,0,513,1,19
Max Geschwill,GER,DF,Holstein Kiel,23,2001,14.2,668,595,73,16,0,2,10,54,0,0,0,0,496,0,18
Dimitris Giannoulis,GRE,DF,Augsburg,28,1995,29.4,1440,1145,291,7,2,2,120,270,13,6,1,0,1076,4,54
Armin Gigovic,BIH,MF,Holstein Kiel,22,2002,21.1,674,645,25,9,5,4,14,0,1,0,1,0,524,4,13
Benedikt Gimber,GER,DF,Heidenheim,27,1997,29.7,1282,1221,55,44,0,6,3,3,0,0,0,0,1058,6,16
Matthias Ginter,GER,DF,Freiburg,30,1994,28.5,1521,1460,52,46,2,9,13,4,0,0,0,0,1256,9,10
Jamie Gittens,ENG,"FW,MF",Dortmund,19,2004,19.7,558,548,8,1,4,3,49,5,2,0,0,0,427,2,22
Serge Gnabry,GER,"FW,MF",Bayern Munich,29,1995,13.8,597,576,19,3,5,1,22,13,1,0,0,0,498,2,14
Tidiam Gomis,FRA,"MF,FW",RB Leipzig,17,2006,1.7,52,50,2,0,0,0,4,0,0,0,0,0,42,0,1
Leon Goretzka,GER,"MF,DF",Bayern Munich,29,1995,14.7,1225,1196,24,18,5,8,5,6,0,0,0,0,1101,5,12
Robin Gosens,GER,DF,Union Berlin,30,1994,1.0,42,32,9,0,0,0,1,9,0,0,0,0,23,1,0
Mario Götze,GER,"MF,FW",Eint Frankfurt,32,1992,17.1,846,807,36,13,3,2,39,6,17,12,2,0,656,3,26
Jeffrey Gouweleeuw,NED,DF,Augsburg,33,1991,32.7,1694,1582,106,89,3,2,17,0,0,0,0,0,1400,6,10
Kamil Grabara,POL,GK,Wolfsburg,25,1999,28.7,1139,896,237,83,1,2,0,0,0,0,0,0,791,6,0
Michael Gregoritsch,AUT,FW,Freiburg,30,1994,7.1,158,149,8,0,0,0,1,0,0,0,0,0,100,1,8
Vincenzo Grifo,ITA,"FW,MF",Freiburg,31,1993,27.0,1529,1335,188,61,10,10,155,11,72,40,28,0,1173,6,29
Florian Grillitsch,AUT,MF,Hoffenheim,28,1995,6.7,417,388,29,25,3,8,4,2,0,0,0,0,361,0,9
Álex Grimaldo,ESP,DF,Leverkusen,28,1995,29.3,2094,1804,285,35,4,10,217,145,105,62,26,0,1700,5,59
Pascal Groß,GER,"MF,DF",Dortmund,33,1991,25.9,1970,1736,228,68,3,12,174,48,98,46,30,3,1589,6,33
Marco Grüll,AUT,"FW,MF",Werder Bremen,26,1998,13.1,327,305,21,7,2,1,21,7,1,0,1,0,251,1,23
Raphaël Guerreiro,POR,"DF,MF",Bayern Munich,30,1993,17.5,1359,1235,118,16,8,2,27,95,5,3,1,0,1206,6,26
Morgan Guilavogui,GUI,"FW,MF",St. Pauli,26,1998,20.1,549,541,2,0,1,3,13,2,0,0,0,0,362,6,24
Serhou Guirassy,GUI,FW,Dortmund,28,1996,28.9,627,578,48,0,9,3,1,0,0,0,0,0,456,1,12
Péter Gulácsi,HUN,GK,RB Leipzig,34,1990,29.2,904,660,241,45,0,0,0,0,0,0,0,0,742,3,0
Robert Gumny,POL,DF,Augsburg,26,1998,3.0,138,104,34,1,0,0,5,33,0,0,0,0,105,0,6
Christian Günter,GER,DF,Freiburg,31,1993,25.7,1143,885,256,25,2,1,121,196,35,23,6,0,851,2,33
Janik Haberer,GER,"MF,DF",Union Berlin,30,1994,18.8,740,675,63,3,1,1,15,52,0,0,0,0,570,2,23
Robin Hack,GER,"FW,MF",Gladbach,25,1998,24.1,898,834,59,15,12,9,61,21,23,18,3,0,684,5,28
Amadou Haidara,MLI,MF,RB Leipzig,26,1998,14.7,902,884,16,9,8,1,12,7,0,0,0,0,723,2,11
